,Ring(34),"Erdos_Renyi(34,78)",Star(34),Karate
Comparation_k*,"[[40.6005849709838, 67.66764161830633, 85.71234604985467, 94.73469826562886, 98.34363915193853], 5]","[[3.5695713352205303, 11.12203279184502, 24.060163280556626, 40.85906697657254, 58.282645656252065, 73.37681810612304, 84.57777957742918, 91.8556447884377, 96.05793024303422], 9]","[[1.2958438228398332, 8.7815435761379, 13.629425321130933, 34.838907955475456, 43.08030692196361, 67.11772057422074, 73.78932926137782, 88.38347326453392, 91.53395514458032, 97.04729843466153], 10]","[[0.9179229285151287, 3.845613953147592, 9.707437566823149, 20.225304456059, 33.72336111987397, 49.3085920121407, 63.98044166222825, 76.48035347717934, 85.73791428375867, 92.00135339843055, 95.81576364376697], 11]"
Cost_for_terms-20,"[[0.092673921585083, 0.004869842529296875, 3.70025634765625e-05], [0.00011501312255859374], [0.0012105464935302734], [0.0012094974517822266], [0.0003516674041748047], [0.0013608455657958985], [0.0008234977722167969], [0.0028428077697753907], [0.0017324924468994141], [0.002893209457397461], [0.0028446197509765627], [0.0019824028015136717], [0.002070045471191406], [0.002225494384765625], [0.0011958599090576172], [0.001259183883666992], [0.0013156890869140624], [0.0013191699981689453], [0.0014778614044189454], [0.0009357452392578125]]","[[0.08888025283813476, 0.0016591548919677734, 2.8896331787109376e-05], [0.00010776519775390625], [0.000177764892578125], [0.00026569366455078127], [0.0003518104553222656], [0.00044388771057128905], [0.0004900455474853516], [0.0005862712860107422], [0.0006633281707763671], [0.0007199764251708985], [0.0008378982543945313], [0.0009232997894287109], [0.0010050296783447265], [0.001029825210571289], [0.0011523246765136718], [0.0016150951385498046], [0.001312112808227539], [0.0013659477233886718], [0.001480865478515625], [0.0016024589538574218]]","[[0.09426364898681641, 0.00408625602722168, 2.7513504028320314e-05], [0.00013132095336914061], [0.00022487640380859376], [0.0012739181518554687], [0.00042204856872558595], [0.0013536930084228516], [0.0005913257598876953], [0.001191425323486328], [0.0008332252502441407], [0.0009341716766357421], [0.0010062694549560548], [0.0011762619018554688], [0.001230764389038086], [0.0013594627380371094], [0.001443958282470703], [0.0014754295349121093], [0.0018393516540527344], [0.00251922607421875], [0.0017971515655517579], [0.0018700122833251952]]","[[0.10007500648498535, 0.0020346641540527344, 2.6655197143554687e-05], [0.00011439323425292969], [0.00016527175903320314], [0.00026640892028808596], [0.0003468036651611328], [0.0004071712493896484], [0.0004949092864990235], [0.0005862712860107422], [0.000666952133178711], [0.0006750583648681641], [0.0007993698120117188], [0.000914621353149414], [0.0017090320587158203], [0.0010664939880371093], [0.0012584209442138671], [0.0012554168701171876], [0.0013744354248046875], [0.0013643741607666016], [0.0015095710754394532], [0.001595926284790039]]"
Relation_methods_20,"[[40.6005849709838, 40.6005849709838], [67.66764161830633, 67.66764161830633], [85.71234604985467, 85.71234604985467], [94.73469826562886, 94.73469826562886], [98.34363915193853, 98.34363915193853], [99.54661944737508, 99.54661944737508], [99.89032810321412, 99.89032810321412], [99.97625526717387, 99.97625526717387], [99.99535019249825, 99.99535019249825], [99.99916917756312, 99.99916917756312], [99.99986353848401, 99.99986353848401], [99.99997926530416, 99.99997926530416], [99.99999706943032, 99.99999706943032], [99.99999961287693, 99.99999961287693], [99.99999995200314, 99.99999995200314], [99.9999999943939, 99.9999999943939], [99.99999999938107, 99.99999999938107], [99.9999999999352, 99.9999999999352], [99.99999999999353, 99.99999999999353], [99.99999999999936, 99.99999999999936]]","[[3.5695713352205325, 3.5695713352205303], [11.122032791845028, 11.12203279184502], [24.06016328055664, 24.060163280556626], [40.859066976572564, 40.85906697657254], [58.2826456562521, 58.282645656252065], [73.37681810612308, 73.37681810612304], [84.57777957742923, 84.57777957742918], [91.85564478843776, 91.8556447884377], [96.05793024303428, 96.05793024303422], [98.24222022092044, 98.2422202209204], [99.27425594058923, 99.27425594058916], [99.72127777431487, 99.7212777743148], [99.9000006113488, 99.90000061134874], [99.96635390089249, 99.96635390089243], [99.98934566342443, 99.98934566342437], [99.99681462832424, 99.99681462832419], [99.99909820247191, 99.99909820247186], [99.99975760351522, 99.99975760351515], [99.9999379886551, 99.99993798865503], [99.99998486753432, 99.99998486753425]]","[[1.2958438228398226, 1.2958438228398332], [8.781543576137826, 8.7815435761379], [13.629425321130823, 13.629425321130933], [34.838907955475165, 34.838907955475456], [43.08030692196326, 43.08030692196361], [67.11772057422019, 67.11772057422074], [73.7893292613772, 73.78932926137782], [88.38347326453318, 88.38347326453392], [91.53395514457956, 91.53395514458032], [97.04729843466072, 97.04729843466153], [98.0210837430387, 98.02108374303951], [99.44118731775654, 99.44118731775737], [99.65342257727482, 99.65342257727563], [99.9187166516727, 99.9187166516735], [99.95307855083277, 99.9530785508336], [99.99066187803916, 99.99066187803997], [99.99495711543416, 99.99495711543499], [99.99913304067928, 99.9991330406801], [99.99956005258406, 99.99956005258488], [99.99993368800074, 99.99993368800156]]","[[0.9179229285151231, 0.9179229285151287], [3.845613953147569, 3.845613953147592], [9.70743756682309, 9.707437566823149], [20.225304456058876, 20.225304456059], [33.723361119873765, 33.72336111987397], [49.30859201214041, 49.3085920121407], [63.98044166222786, 63.98044166222825], [76.48035347717888, 76.48035347717934], [85.73791428375816, 85.73791428375867], [92.00135339843001, 92.00135339843055], [95.81576364376639, 95.81576364376697], [97.9593094678925, 97.95930946789309], [99.0663365934022, 99.0663365934028], [99.59878720890393, 99.59878720890451], [99.83733953894503, 99.83733953894563], [99.93766908468046, 99.93766908468106], [99.97734849508538, 99.97734849508598], [99.9921781641638, 99.9921781641644], [99.99742681317937, 99.99742681317997], [99.99919203797992, 99.99919203798052]]"
